Epoch	Time(sec)	RMSE_train	R2_train	MAE_dev	MAE_test	RMSE_dev	RMSE_test	R2_dev	R2_test
1	136.13274301495403	4.320935	0.17263116410768042	[2.8477333]	[2.9349537]	3.3854663	3.49997	0.5156860324846027	0.4847254693456845
2	247.43464632402174	2.6557868	0.6874423519079207	[1.5186185]	[1.528558]	2.2403083	2.2914836	0.7879171243721781	0.7791265244783199
3	364.2628735960461	2.042288	0.8151677609752045	[1.4979059]	[1.4617968]	1.9981617	2.0191135	0.8312859473646239	0.8285128658117078
4	476.60353295202367	1.82372	0.8526127025170857	[1.5227965]	[1.5527778]	1.9634348	2.019635	0.8370992836075187	0.828424305058693
5	584.6692832729314	1.7309463	0.8672266382854598	[1.2672012]	[1.2471148]	1.8005376	1.8390349	0.8630082444105387	0.8577376539823198
6	688.6715817109216	1.6435729	0.8802924120695477	[1.4223063]	[1.404644]	1.8959446	1.8632963	0.8481057645275477	0.8539593258603313
7	789.7210787839722	1.5855598	0.8885938937025267	[1.2642931]	[1.2668743]	1.7503192	1.7668557	0.8705432845897723	0.8686856444777529
8	890.3310892709997	1.5278169	0.8965605155782456	[1.2032592]	[1.1575272]	1.7131	1.6878268	0.8759903706926472	0.8801699323735138
9	990.2981102538761	1.4747642	0.9036195552454851	[1.2739035]	[1.2497749]	1.8305004	1.8262345	0.8584109536488361	0.859711161068477
10	1090.051724059973	1.355955	0.9185231485253464	[1.2094773]	[1.1827097]	1.7074465	1.6879686	0.8768075131132471	0.8801498016349364
11	1193.354635160882	1.2911197	0.9261285383852703	[1.2029687]	[1.1794233]	1.7097645	1.6953954	0.8764727959637453	0.8790928292234046
12	1316.912880491931	1.2500933	0.9307485900587665	[1.1703094]	[1.1262197]	1.7298781	1.6737483	0.8735493672744603	0.8821606459599064
13	1425.2971398939844	1.2082715	0.9353046875335803	[1.2339727]	[1.2267834]	1.7293347	1.7302914	0.8736287865935177	0.8740643992664334
14	1535.3420560390223	1.1677017	0.9395762714502223	[1.1915102]	[1.1628693]	1.7591398	1.7299727	0.8692352569487826	0.8741107835168767
15	1644.3577890179586	1.1340646	0.9430072954998967	[1.1661454]	[1.1252936]	1.7119076	1.6858835	0.876162941594984	0.8804457061902706
16	1751.8048832090572	1.0961057	0.9467587117101407	[1.225211]	[1.1751834]	1.8259989	1.7690272	0.8591064670193858	0.868362659600439
17	1856.8494109329768	1.0524883	0.950911669743678	[1.1544255]	[1.1114764]	1.7467589	1.6913797	0.8710694139458279	0.8796649261040371
18	1982.8771820890252	1.0131928	0.9545087454474407	[1.1584952]	[1.1480988]	1.7505096	1.7388655	0.8705151332533834	0.8728131993368927
19	2091.7335916028824	0.99731815	0.9559230874883318	[1.1793554]	[1.1607586]	1.758935	1.7373248	0.8692656938420713	0.8730384936243945
20	2201.539834280964	0.8751953	0.9660567280058184	[1.2131284]	[1.1419693]	1.8279041	1.7318999	0.8588123167138944	0.8738301424485211
21	2308.13906301884	0.81791073	0.9703547212292019	[1.1822425]	[1.097744]	1.8196967	1.6949639	0.8600773600196219	0.8791543594686648
22	2429.4263349638786	0.78310424	0.9728241666590656	[1.1904348]	[1.1351162]	1.840681	1.751598	0.8568316439932901	0.8709437706677714
23	2576.965765945846	0.7565922	0.9746330945735453	[1.1789048]	[1.1185753]	1.8288633	1.7338759	0.8586641096980114	0.873542067085108
24	2718.855748534901	0.72893614	0.976453701484721	[1.1702514]	[1.1145993]	1.823902	1.7289201	0.8594298779405339	0.8742639209276145
