Epoch	Time(sec)	RMSE_train	R2_train	MAE_dev	MAE_test	RMSE_dev	RMSE_test	R2_dev	R2_test
1	311.75320040341467	4.5355887	0.09604661312356622	[2.5559483]	[2.4880974]	3.2165344	3.1407142	0.5485784107780302	0.5705917558801984
2	597.067982965149	2.6831872	0.6836406670893068	[1.7280482]	[1.6692992]	2.324411	2.2416227	0.76426085682842	0.7812548012331654
3	788.851577243302	2.1212401	0.8022764633759528	[1.4498246]	[1.3532975]	2.0339632	1.8582844	0.8194938140698458	0.8496726705773109
4	1019.1687749722041	1.9043782	0.8406378839926242	[1.5446212]	[1.4118987]	2.0154924	1.8628085	0.8227573652393673	0.8489398365507397
5	1263.6730463621207	1.8103044	0.8559935554178326	[1.3434823]	[1.3138757]	1.9965055	1.9160559	0.826081052933678	0.8401804297904396
6	1402.4595503113233	1.7477149	0.8657791745401113	[1.2293503]	[1.2282407]	1.7909354	1.7853129	0.8600523067272907	0.8612470444455135
7	1608.7840108233504	1.6778222	0.8762997397463822	[1.2198666]	[1.1821027]	1.8418291	1.7681018	0.8519853967502287	0.8639094064143705
8	1840.7679030071013	1.6155641	0.8853095984922541	[1.2521342]	[1.1787258]	1.7882837	1.6630692	0.8604664270116162	0.8795978496061826
9	2092.3206734471023	1.5886443	0.8890998898507516	[1.3198555]	[1.3071237]	1.8360707	1.8323847	0.8529094844278587	0.8538338193714166
10	2335.1478827050887	1.4500276	0.9076086743041831	[1.1621984]	[1.1007553]	1.7030939	1.6017295	0.8734438979575967	0.8883157548887304
11	2578.3622358590364	1.4078633	0.9129037138129958	[1.1344895]	[1.0938467]	1.6673673	1.61672	0.8786978527906808	0.8862154803670934
12	2829.1179198659956	1.3703246	0.9174863946355811	[1.1474284]	[1.0961775]	1.7196096	1.6116964	0.8709774495338235	0.886921508946095
13	3069.9621054814197	1.338604	0.9212622750019679	[1.1950557]	[1.1131006]	1.7707375	1.6485835	0.8631911267435863	0.8816861737102908
14	3312.3015543310903	1.3074586	0.9248836235908171	[1.1388406]	[1.0809639]	1.7278848	1.6161942	0.8697326903060311	0.8862894663471184
15	3576.996310525108	1.2964606	0.9261420328420462	[1.1504096]	[1.1310961]	1.7384652	1.6835881	0.868132459321374	0.876608491350038
