Epoch	Time(sec)	RMSE_train	R2_train	MAE_dev	MAE_test	RMSE_dev	RMSE_test	R2_dev	R2_test
1	216.53723522089422	3.7358835	0.38151327554127723	[2.246458]	[2.2939925]	2.6850467	2.7877433	0.6953552665477196	0.6730994224997568
2	361.09185233479366	2.0470574	0.8143034705411608	[1.338809]	[1.3225362]	1.8774464	1.8976269	0.8510552874625741	0.8485282282892469
3	524.4963983618654	1.8422503	0.8496023560769524	[1.3671325]	[1.3900411]	1.8455428	1.9089855	0.8560743350356651	0.84670946632237
4	664.6342664719559	1.7233049	0.8683963501715672	[1.4611009]	[1.5043378]	1.9243728	1.9967045	0.8435165576506453	0.8322982270773049
5	852.2235024049878	1.6503005	0.8793104115321043	[1.196451]	[1.2255349]	1.7039175	1.790321	0.8773162179913391	0.8651745732508934
6	1058.2928207879886	1.5867358	0.8884285791706393	[1.211879]	[1.2371657]	1.7540394	1.8022484	0.8699924162371722	0.8633721251970283
7	1189.1797455488704	1.5556827	0.8927528557164301	[1.1954794]	[1.214322]	1.7431453	1.7935412	0.8716023107499242	0.8646891052656097
8	1421.7790545141324	1.4982123	0.9005303770721906	[1.203239]	[1.1748277]	1.786646	1.7631229	0.8651139494369745	0.86923989965219
9	1725.8365186331794	1.4414394	0.9079260967415237	[1.2328063]	[1.2219507]	1.8151033	1.8607608	0.8607828594257813	0.8543564901303308
10	2037.9816815229133	1.3179696	0.9230241503506155	[1.1986471]	[1.209524]	1.7249237	1.7483878	0.8742726373873932	0.8714163930697228
11	2335.434162795078	1.2625979	0.9293562360559978	[1.2019209]	[1.2092453]	1.7294042	1.7664648	0.8736186376415199	0.8687437303727449
12	2498.051890821196	1.2427584	0.9315588707368175	[1.1614883]	[1.1335711]	1.7307857	1.6945245	0.873416647626039	0.8792170104830589
13	2625.437111876905	1.1995817	0.9362319110803735	[1.1901822]	[1.2118665]	1.7112564	1.7408725	0.8762571273395223	0.8725194324345461
14	2767.384349006228	1.1717746	0.9391540235258514	[1.1597435]	[1.1333153]	1.7541008	1.7251043	0.8699833145783202	0.8748183126236859
15	2893.6909234179184	1.1356708	0.9428457435725605	[1.1867564]	[1.1200742]	1.7895241	1.7027929	0.8646790304471493	0.8780354335980256
16	3019.1420783000067	1.1051557	0.9458758918976078	[1.1782577]	[1.1594179]	1.7906215	1.7688632	0.8645130045663749	0.8683870778194986
17	3237.8777072969824	1.0718011	0.9490936309088217	[1.1575607]	[1.1373882]	1.7601448	1.7351595	0.8690857874222377	0.8733547578221423
18	3511.384731235914	1.0434127	0.9517545885803688	[1.2028192]	[1.1693621]	1.8227	1.7626052	0.8596150969102001	0.8693166704468201
19	3763.134333317168	1.0111157	0.9546950712835142	[1.1503992]	[1.1447544]	1.7599806	1.750594	0.8691102140252877	0.8710917039669809
20	3887.4933465220965	0.8968417	0.964356913601228	[1.1774254]	[1.1785293]	1.8080817	1.7886853	0.861857851843596	0.8654207972921257
21	4071.194218355231	0.8485241	0.9680940228160532	[1.1683224]	[1.1624061]	1.8173687	1.7925607	0.8604351236417043	0.8648370224066506
22	4341.666073672008	0.80321544	0.9714104175649545	[1.1842221]	[1.1423346]	1.8492074	1.7740542	0.8555021833149238	0.8676134689454134
23	4646.6221186867915	0.77381355	0.9734651669933969	[1.1797717]	[1.1530491]	1.8279622	1.7646847	0.8588033382529368	0.8690081458166825
24	4814.530746009201	0.74167323	0.9756236354092997	[1.1832001]	[1.148948]	1.8436756	1.7594233	0.8563654135535143	0.8697880797938028
25	4982.808049415238	0.71209884	0.9775289006120083	[1.1906425]	[1.1713244]	1.8553244	1.7854285	0.8545446523714068	0.8659104448752354
26	5149.971821541898	0.70915735	0.9777141640350638	[1.19349]	[1.1651838]	1.8649222	1.7982447	0.8530358363054006	0.8639784814483222
27	5362.515834582038	0.67653453	0.9797173994371751	[1.1922654]	[1.1906884]	1.8359224	1.7997502	0.8575709240433038	0.8637506275401544
28	5627.61849074997	0.6631351	0.9805128761184079	[1.1704267]	[1.1641281]	1.8424331	1.7812696	0.8565589452672225	0.8665344110560159
29	5850.363687303849	0.6494132	0.9813110031725029	[1.2035279]	[1.167185]	1.8458047	1.7784662	0.8560334879245212	0.8669541691086297
30	6108.723545381799	0.5893066	0.9846104355154144	[1.1855084]	[1.1715552]	1.8250296	1.7876122	0.8592560286901112	0.865582246015601
31	6365.840593785979	0.55096525	0.9865478363813918	[1.1845775]	[1.1632878]	1.856747	1.7633927	0.8543214868354723	0.8691998879280122
32	6613.018949423917	0.5356729	0.98728421930582	[1.2004052]	[1.1812841]	1.8399823	1.778993	0.8569403068806415	0.8668753395678431
33	6859.454725979827	0.5163054	0.9881870869035537	[1.1906526]	[1.16271]	1.8460405	1.7666645	0.8559966935846108	0.8687140692162274
34	7124.120783876162	0.50188017	0.9888379537746571	[1.1886095]	[1.1654323]	1.8440765	1.7722969	0.8563029490306204	0.8678756049299486
35	7374.3698698580265	0.48612222	0.9895278797467278	[1.2069653]	[1.1692762]	1.8663406	1.7791536	0.8528121948908377	0.8668513024600395
36	7632.950471377	0.47441062	0.9900263867668748	[1.2062229]	[1.1782193]	1.8530886	1.7679818	0.8548949903267379	0.8685182305095496
37	7872.010494728107	0.46467808	0.9904314075852352	[1.2105113]	[1.1827704]	1.8659667	1.7830542	0.8528711640255933	0.8662668384416772
38	8085.683452389203	0.45209688	0.990942533644234	[1.2156879]	[1.1772794]	1.8844575	1.7938675	0.8499407736433076	0.8646398637643001
39	8312.299245919101	0.4380109	0.9914981486824723	[1.2059501]	[1.1708474]	1.8687873	1.7799448	0.8524260372992394	0.866732850740574
40	8559.000903675798	0.40478486	0.9927390706004231	[1.2158186]	[1.1799884]	1.8699973	1.7802575	0.8522348708314313	0.8666860252936832
